Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
middle_link1,-0.00105236331065115,0.00471408033272567,0.0231603296543958,0,0,0,0.00458737493263985,7.11408535683702E-07,-8.88862647831751E-12,1.84964804526895E-08,7.21772107136305E-07,-1.62351272181229E-10,1.3911209589334E-07,0,0,0,0,0,0,meshes/middle_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/middle_link1.STL,,L20_8食指装配-3/食指关节A-1,坐标系14,基准轴14,middle_joint1,revolute,0.01637,-0.004725,0,0,0,0,middle_link0,0,1,0,100,1,0,1.66,,,,,,,,
middle_link2,-0.000202737288641956,0.00374520064615379,0.0168359470149295,0,0,0,0.00240966144854391,2.37801998483011E-07,6.89012727769121E-12,1.3836127382078E-08,1.83468458583569E-07,-1.09748111033411E-11,9.87740546248661E-08,0,0,0,0,0,0,meshes/middle_link2.STL,1,1,1,1,0,0,0,0,0,0,meshes/middle_link2.STL,,L20_8食指装配-3/食指关节B-1,坐标系15,基准轴15,middle_joint2,revolute,-0.0041603,0.00097466,0.044823,0,0,0,middle_link1,0,1,0,100,1,0,1.36,,,,,,,,
middle_link3,-0.00922986560355694,0.00504641978922791,0.0103800592222401,0,0,0,0.00495950337459495,3.09813187689288E-07,3.09073465223303E-11,1.13938281046898E-07,3.3739942116862E-07,-8.57532751589914E-11,1.94461553503697E-07,0,0,0,0,0,0,meshes/middle_link3.STL,1,1,1,1,0,0,0,0,0,0,meshes/middle_link3.STL,,L20_8食指装配-3/四指指尖传感器-1/指尖传感器他山.sldasm-Part-10^四指指尖传感器-1;L20_8食指装配-3/四指指尖传感器-1/指尖传感器他山.sldasm-Part-11-1;L20_8食指装配-3/四指指尖传感器-1/指尖传感器他山.sldasm-Part-8^四指指尖传感器-1;L20_8食指装配-3/四指指尖传感器-1/指尖传感器他山.sldasm-Part-13-1;L20_8食指装配-3/四指指尖传感器-1/指尖传感器他山.sldasm-Part-12-1,坐标系16,基准轴16,middle_joint3,revolute,0.0027804,-0.0012747,0.0317,0,0,0,middle_link2,0,1,0,100,1,0,1.48,,,,,,,,
middle_link4,-1.8638070253818E-11,-0.00100000002734258,-4.79522921370545E-10,0,0,0,1.5707963267949E-06,6.2177354602298E-13,-5.71047774912027E-28,-1.36586951655943E-30,1.96349540849459E-13,-2.0284743541761E-19,6.21773546022883E-13,0,0,0,0,0,0,meshes/middle_link4.STL,1,1,1,1,0,0,0,0,0,0,meshes/middle_link4.STL,,L20_8食指装配-3/四指指尖传感器-1/指尖块-1,坐标系17,基准轴17,middle_joint4,fixed,-0.016085,0.00605,0.03333,0,0,0,middle_link3,0,0,0,,,,,,,,,,,,
ring_link0,0.0111954544832297,-4.39666710074058E-07,0.00228191192115088,0,0,0,0.000844065873674399,3.44196456198852E-08,1.76210988098093E-12,-4.64509765394636E-09,2.42668315781705E-08,-1.12028237485243E-12,3.96012942513934E-08,0,0,0,0,0,0,meshes/ring_link0.STL,1,1,1,1,0,0,0,0,0,0,meshes/ring_link0.STL,,L20_8食指装配-2/替换8版整体2.sldasm-Part-393-1,坐标系18,基准轴18,ring_joint0,revolute,-0.031594,-0.016502,0.15931,0.00090091,0,0,base_link,1,0,0,100,1,-0.26,0.26,,,,,,,,
ring_link1,-0.0010523966519671,0.00471408033085737,0.0231603281397865,0,0,0,0.00458737493263854,7.11408482522737E-07,-8.88839480683219E-12,1.84973040508519E-08,7.21772116429531E-07,-1.62351237966973E-10,1.39112158347477E-07,0,0,0,0,0,0,meshes/ring_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/ring_link1.STL,,L20_8食指装配-2/食指关节A-1,坐标系19,基准轴19,ring_joint1,revolute,0.01637,-0.004725,0,0,0,0,ring_link0,0,1,0,100,1,0,1.66,,,,,,,,
ring_link2,-0.000202761525458488,0.00374520064529259,0.0168359467232387,0,0,0,0.00240966144854525,2.37801959173246E-07,6.89014242066215E-12,1.38363274759423E-08,1.83468459115188E-07,-1.09747967712844E-11,9.87740944662497E-08,0,0,0,0,0,0,meshes/ring_link2.STL,1,1,1,1,0,0,0,0,0,0,meshes/ring_link2.STL,,L20_8食指装配-2/食指关节B-1,坐标系20,基准轴20,ring_joint2,revolute,-0.0041603,0.00097466,0.044823,0,0,0,ring_link1,0,1,0,100,1,0,1.36,,,,,,,,
ring_link3,-0.00922985066054392,0.00504641978927279,0.0103800725094067,0,0,0,0.00495950337459493,3.09813515737726E-07,3.09072235664195E-11,1.13938114987654E-07,3.37399421168618E-07,-8.57533202718062E-11,1.94461225456117E-07,0,0,0,0,0,0,meshes/ring_link3.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,meshes/ring_link3.STL,,L20_8食指装配-2/四指指尖传感器-1/指尖传感器他山.sldasm-Part-8^四指指尖传感器-1;L20_8食指装配-2/四指指尖传感器-1/指尖传感器他山.sldasm-Part-13-1;L20_8食指装配-2/四指指尖传感器-1/指尖传感器他山.sldasm-Part-10^四指指尖传感器-1;L20_8食指装配-2/四指指尖传感器-1/指尖传感器他山.sldasm-Part-11-1;L20_8食指装配-2/四指指尖传感器-1/指尖传感器他山.sldasm-Part-12-1,坐标系21,基准轴21,ring_joint3,revolute,0.0027804,-0.0012747,0.0317,0,0,0,ring_link2,0,1,0,100,1,0,1.48,,,,,,,,
ring_link4,-1.86380494371363E-11,-0.0010000000273427,-2.95946600559205E-12,0,0,0,1.5707963267949E-06,6.21773546022979E-13,-4.11859541410829E-28,8.48919351606436E-30,1.96349540849362E-13,-1.05892050425474E-22,6.21773546022979E-13,0,0,0,0,0,0,meshes/ring_link4.STL,1,1,1,1,0,0,0,0,0,0,meshes/ring_link4.STL,,L20_8食指装配-2/四指指尖传感器-1/指尖块-1,坐标系22,基准轴22,ring_joint4,fixed,-0.016084766889664,0.00604996184218905,0.0333295244560526,0,0,0,ring_link3,0,0,0,,,,,,,,,,,,
little_link0,0.01119545448323,-2.49545246554239E-06,0.00228191059901939,0,0,0,0.000844065873674479,3.441964561989E-08,5.94690101903092E-12,-4.64509418140417E-09,2.42668460426183E-08,-1.49351695505982E-11,3.96012797869529E-08,0,0,0,0,0,0,meshes/little_link0.STL,1,1,1,1,0,0,0,0,0,0,meshes/little_link0.STL,,L20_8食指装配-4/替换8版整体2.sldasm-Part-393-1,坐标系23,基准轴23,little_joint0,revolute,-0.027971,-0.038102,0.15031,0,0,0,base_link,1,0,0,100,1,-0.26,0.26,,,,,,,,
little_link1,-0.00105236331065163,0.00471408033272601,0.0231603296543959,0,0,0,0.00458737493264002,7.11408535646428E-07,-8.8886265106624E-12,1.84964814131694E-08,7.2177211304267E-07,-1.62351272144356E-10,1.39112101836969E-07,0,0,0,0,0,0,meshes/little_link1.STL,1,1,1,1,0,0,0,0,0,0,meshes/little_link1.STL,,L20_8食指装配-4/食指关节A-1,坐标系24,基准轴24,little_joint1,revolute,0.01637,-0.004725,0,0.00090091,0,0,little_link0,0,1,0,100,1,0,1.66,,,,,,,,
little_link2,-0.000202761525458565,0.0037452006452903,0.0168359467232404,0,0,0,0.00240966144854467,2.37801956697455E-07,6.89014236998113E-12,1.38363276159861E-08,1.83468456617365E-07,-1.09747956563212E-11,9.87740944443035E-08,0,0,0,0,0,0,meshes/little_link2.STL,1,1,1,1,0,0,0,0,0,0,meshes/little_link2.STL,,L20_8食指装配-4/食指关节B-1,坐标系25,基准轴25,little_joint2,revolute,-0.0041603,0.00097466,0.044823,0,0,0,little_link1,0,1,0,100,1,0,1.36,,,,,,,,
little_link3,-0.00922985066054395,0.00504641978927281,0.0103800725094066,0,0,0,0.00495950337459493,3.09813515738317E-07,3.0907223566071E-11,1.13938114987655E-07,3.37399421168617E-07,-8.57533202709845E-11,1.9446122545671E-07,0,0,0,0,0,0,meshes/little_link3.STL,1,1,1,1,0,0,0,0,0,0,meshes/little_link3.STL,,L20_8食指装配-4/四指指尖传感器-1/指尖传感器他山.sldasm-Part-10^四指指尖传感器-1;L20_8食指装配-4/四指指尖传感器-1/指尖传感器他山.sldasm-Part-11-1;L20_8食指装配-4/四指指尖传感器-1/指尖传感器他山.sldasm-Part-8^四指指尖传感器-1;L20_8食指装配-4/四指指尖传感器-1/指尖传感器他山.sldasm-Part-13-1;L20_8食指装配-4/四指指尖传感器-1/指尖传感器他山.sldasm-Part-12-1,坐标系26,基准轴26,little_joint3,revolute,0.0027804,-0.0012747,0.0317,0,0,0,little_link2,0,1,0,100,1,0,1.48,,,,,,,,
little_link4,-1.8638073723265E-11,-0.00100000002734258,-4.79522921370545E-10,0,0,0,1.5707963267949E-06,6.2177354602298E-13,-2.91565471868989E-29,2.49407927798147E-31,1.96349540849459E-13,-2.02847435431046E-19,6.21773546022883E-13,0,0,0,0,0,0,meshes/little_link4.STL,1,1,1,1,0,0,0,0,0,0,meshes/little_link4.STL,,L20_8食指装配-4/四指指尖传感器-1/指尖块-1,坐标系27,基准轴27,little_joint4,fixed,-0.016085,0.00605,0.03333,0,0,0,little_link3,0,0,0,,,,,,,,,,,,
